word,year,score,transformed_score
absent-minded,1970,464,36
active,1970,641,-141
adaptable,1970,491,9
adventurous,1970,752,-252
affected,1970,385,115
affectionate,1970,270,230
aggressive,1970,761,-261
alert,1970,505,-5
aloof,1970,486,14
ambitious,1970,702,-202
anxious,1970,441,59
apathetic,1970,542,-42
appreciative,1970,317,183
argumentative,1970,553,-53
arrogant,1970,575,-75
artistic,1970,346,154
assertive,1970,678,-178
attractive,1970,308,192
autocratic,1970,626,-126
awkward,1970,546,-46
bitter,1970,501,-1
blustery,1970,482,18
boastful,1970,696,-196
bossy,1970,498,2
calm,1970,517,-17
capable,1970,557,-57
careless,1970,516,-16
cautious,1970,398,102
changeable,1970,360,140
charming,1970,373,127
cheerful,1970,343,157
civilized,1970,454,46
clear-thinking,1970,623,-123
clever,1970,506,-6
coarse,1970,642,-142
cold,1970,519,-19
commonplace,1970,531,-31
complaining,1970,401,99
complicated,1970,446,54
conceited,1970,541,-41
confident,1970,683,-183
confused,1970,394,106
conscientious,1970,409,91
conservative,1970,468,32
considerate,1970,381,119
contented,1970,428,72
conventional,1970,530,-30
cool,1970,601,-101
cooperative,1970,412,88
courageous,1970,678,-178
cowardly,1970,491,9
cruel,1970,592,-92
curious,1970,470,30
cynical,1970,558,-58
daring,1970,694,-194
deceitful,1970,454,46
defensive,1970,505,-5
deliberate,1970,563,-63
demanding,1970,567,-67
dependable,1970,506,-6
dependent,1970,357,143
despondent,1970,461,39
determined,1970,616,-116
dignified,1970,511,-11
discreet,1970,423,77
disorderly,1970,593,-93
dissatisfied,1970,498,2
distractible,1970,476,24
distrustful,1970,518,-18
dominant,1970,736,-236
dreamy,1970,322,178
dull,1970,545,-45
easy-going,1970,577,-77
effeminate,1970,397,103
efficient,1970,460,40
egotistical,1970,671,-171
emotional,1970,254,246
energetic,1970,565,-65
enterprising,1970,645,-145
enthusiastic,1970,429,71
evasive,1970,428,72
excitable,1970,333,167
fair-minded,1970,482,18
fault-finding,1970,452,48
fearful,1970,409,91
feminine,1970,192,308
fickle,1970,344,156
flirtatious,1970,308,192
foolish,1970,448,52
forceful,1970,723,-223
foresighted,1970,538,-38
forgetful,1970,507,-7
forgiving,1970,382,118
formal,1970,484,16
frank,1970,624,-124
friendly,1970,423,77
frivolous,1970,339,161
fussy,1970,325,175
generous,1970,466,34
gentle,1970,312,188
gloomy,1970,524,-24
good-looking,1970,449,51
good-natured,1970,506,-6
greedy,1970,576,-76
handsome,1970,642,-142
hard-headed,1970,567,-67
hard-hearted,1970,597,-97
hasty,1970,499,1
headstrong,1970,599,-99
healthy,1970,569,-69
helpful,1970,439,61
high-strung,1970,379,121
honest,1970,527,-27
hostile,1970,577,-77
humorous,1970,585,-85
hurried,1970,446,54
idealistic,1970,450,50
imaginative,1970,364,136
immature,1970,487,13
impatient,1970,583,-83
impulsive,1970,392,108
independent,1970,706,-206
indifferent,1970,581,-81
individualistic,1970,594,-94
industrious,1970,605,-105
infantile,1970,465,35
informal,1970,576,-76
ingenious,1970,527,-27
inhibited,1970,436,64
initiative,1970,574,-74
insightful,1970,478,22
intelligent,1970,501,-1
interests narrow,1970,498,2
interests wide,1970,505,-5
intolerant,1970,579,-79
inventive,1970,591,-91
irresponsible,1970,509,-9
irritable,1970,477,23
jolly,1970,581,-81
kind,1970,374,126
lazy,1970,601,-101
leisurely,1970,515,-15
logical,1970,661,-161
loud,1970,624,-124
loyal,1970,464,36
mannerly,1970,437,63
masculine,1970,790,-290
mature,1970,513,-13
meek,1970,369,131
methodical,1970,611,-111
mild,1970,371,129
mischievous,1970,596,-96
moderate,1970,511,-11
modest,1970,411,89
moody,1970,407,93
nagging,1970,348,152
natural,1970,536,-36
nervous,1970,408,92
noisy,1970,568,-68
obliging,1970,474,26
obnoxious,1970,580,-80
opinionated,1970,602,-102
opportunistic,1970,650,-150
optimistic,1970,447,53
organized,1970,470,30
original,1970,450,50
outgoing,1970,543,-43
outspoken,1970,600,-100
painstaking,1970,434,66
patient,1970,393,107
peaceable,1970,444,56
peculiar,1970,498,2
persevering,1970,535,-35
persistent,1970,574,-74
pessimistic,1970,545,-45
planful,1970,508,-8
pleasant,1970,349,151
pleasure-seeking,1970,608,-108
poised,1970,356,144
polished,1970,446,54
practical,1970,563,-63
praising,1970,395,105
precise,1970,552,-52
prejudiced,1970,574,-74
preoccupied,1970,516,-16
progressive,1970,603,-103
prudish,1970,375,125
quarrelsome,1970,475,25
queer,1970,531,-31
quick,1970,541,-41
quiet,1970,417,83
quitting,1970,490,10
rational,1970,654,-154
rattlebrained,1970,404,96
realistic,1970,629,-129
reasonable,1970,575,-75
rebellious,1970,596,-96
reckless,1970,591,-91
reflective,1970,460,40
relaxed,1970,530,-30
reliable,1970,474,26
resentful,1970,492,8
reserved,1970,464,36
resourceful,1970,533,-33
responsible,1970,508,-8
restless,1970,560,-60
retiring,1970,516,-16
rigid,1970,535,-35
robust,1970,606,-106
rude,1970,596,-96
sarcastic,1970,525,-25
self-centered,1970,561,-61
self-confident,1970,614,-114
self-controlled,1970,533,-33
self-denying,1970,433,67
self-pitying,1970,465,35
self-punishing,1970,513,-13
self-seeking,1970,554,-54
selfish,1970,556,-56
sensitive,1970,326,174
sentimental,1970,241,259
serious,1970,580,-80
severe,1970,589,-89
sexy,1970,340,160
shallow,1970,484,16
sharp-witted,1970,552,-52
shiftless,1970,592,-92
show-off,1970,617,-117
shrewd,1970,522,-22
shy,1970,385,115
silent,1970,472,28
simple,1970,466,34
sincere,1970,403,97
slipshod,1970,563,-63
slow,1970,511,-11
sly,1970,523,-23
smug,1970,540,-40
snobbish,1970,428,72
sociable,1970,386,114
soft-hearted,1970,303,197
sophisticated,1970,402,98
spendthrift,1970,477,23
spineless,1970,531,-31
spontaneous,1970,466,34
spunky,1970,483,17
stable,1970,601,-101
steady,1970,584,-84
stern,1970,622,-122
stingy,1970,554,-54
stolid,1970,572,-72
strong,1970,707,-207
stubborn,1970,599,-99
submissive,1970,343,157
suggestible,1970,403,97
sulky,1970,433,67
superstitious,1970,425,75
suspicious,1970,496,4
sympathetic,1970,299,201
tactful,1970,406,94
tactless,1970,588,-88
talkative,1970,307,193
temperamental,1970,416,84
tense,1970,510,-10
thankless,1970,561,-61
thorough,1970,528,-28
thoughtful,1970,419,81
thrifty,1970,517,-17
timid,1970,403,97
tolerant,1970,446,54
touchy,1970,456,44
tough,1970,649,-149
trusting,1970,409,91
unaffected,1970,513,-13
unambitious,1970,451,49
unassuming,1970,476,24
unconventional,1970,544,-44
undependable,1970,599,-99
understanding,1970,387,113
unemotional,1970,623,-123
unexcitable,1970,599,-99
unfriendly,1970,533,-33
uninhibited,1970,598,-98
unintelligent,1970,479,21
unkind,1970,553,-53
unrealistic,1970,446,54
unscrupulous,1970,546,-46
unselfish,1970,440,60
unstable,1970,440,60
vindictive,1970,503,-3
versatile,1970,477,23
warm,1970,341,159
wary,1970,524,-24
weak,1970,384,116
whiny,1970,395,105
wholesome,1970,465,35
wise,1970,584,-84
withdrawn,1970,496,4
witty,1970,532,-32
worrying,1970,428,72
zany,1970,455,45
absent-minded,1990,60,-100
active,1990,81,-310
adaptable,1990,37,130
adventurous,1990,93,-430
affected,1990,20,300
affectionate,1990,10,400
aggressive,1990,88,-380
alert,1990,60,-100
aloof,1990,50,0
ambitious,1990,82,-320
anxious,1990,23,270
apathetic,1990,53,-30
appreciative,1990,26,240
argumentative,1990,59,-90
arrogant,1990,74,-240
artistic,1990,34,160
assertive,1990,73,-230
attractive,1990,14,360
autocratic,1990,86,-360
awkward,1990,64,-140
bitter,1990,51,-10
blustery,1990,65,-150
boastful,1990,77,-270
bossy,1990,68,-180
calm,1990,48,20
capable,1990,70,-200
careless,1990,65,-150
cautious,1990,33,170
changeable,1990,28,220
charming,1990,19,310
cheerful,1990,36,140
civilized,1990,48,20
clear-thinking,1990,71,-210
clever,1990,64,-140
coarse,1990,91,-410
cold,1990,58,-80
commonplace,1990,54,-40
complaining,1990,21,290
complicated,1990,30,200
conceited,1990,68,-180
confident,1990,77,-270
confused,1990,33,170
conscientious,1990,45,50
conservative,1990,53,-30
considerate,1990,35,150
contented,1990,43,70
conventional,1990,54,-40
cool,1990,64,-140
cooperative,1990,46,40
courageous,1990,86,-360
cowardly,1990,45,50
cruel,1990,79,-290
curious,1990,24,260
cynical,1990,69,-190
daring,1990,86,-360
deceitful,1990,52,-20
defensive,1990,43,70
deliberate,1990,61,-110
demanding,1990,48,20
dependable,1990,56,-60
dependent,1990,19,310
despondent,1990,36,140
determined,1990,78,-280
dignified,1990,53,-30
discreet,1990,49,10
disorderly,1990,76,-260
dissatisfied,1990,42,80
distractible,1990,40,100
distrustful,1990,45,50
dominant,1990,87,-370
dreamy,1990,17,330
dull,1990,56,-60
easy-going,1990,64,-140
effeminate,1990,41,90
efficient,1990,63,-130
egotistical,1990,77,-270
emotional,1990,12,380
energetic,1990,82,-320
enterprising,1990,81,-310
enthusiastic,1990,51,-10
evasive,1990,46,40
excitable,1990,33,170
fair-minded,1990,59,-90
fault-finding,1990,33,170
fearful,1990,17,330
feminine,1990,8,420
fickle,1990,27,230
flirtatious,1990,35,150
foolish,1990,33,170
forceful,1990,93,-430
foresighted,1990,58,-80
forgetful,1990,58,-80
forgiving,1990,33,170
formal,1990,61,-110
frank,1990,65,-150
friendly,1990,42,80
frivolous,1990,28,220
fussy,1990,24,260
generous,1990,55,-50
gentle,1990,21,290
gloomy,1990,56,-60
good-looking,1990,36,140
good-natured,1990,51,-10
greedy,1990,67,-170
handsome,1990,69,-190
hard-headed,1990,74,-240
hard-hearted,1990,77,-270
hasty,1990,54,-40
headstrong,1990,71,-210
healthy,1990,69,-190
helpful,1990,35,150
high-strung,1990,32,180
honest,1990,55,-50
hostile,1990,66,-160
humorous,1990,73,-230
hurried,1990,55,-50
idealistic,1990,54,-40
imaginative,1990,32,180
immature,1990,48,20
impatient,1990,59,-90
impulsive,1990,44,60
independent,1990,84,-340
indifferent,1990,69,-190
individualistic,1990,71,-210
industrious,1990,60,-100
infantile,1990,44,60
informal,1990,84,-340
ingenious,1990,69,-190
inhibited,1990,42,80
initiative,1990,75,-250
insightful,1990,58,-80
intelligent,1990,68,-180
interests narrow,1990,34,160
interests wide,1990,73,-230
intolerant,1990,65,-150
inventive,1990,81,-310
irresponsible,1990,63,-130
irritable,1990,50,0
jolly,1990,59,-90
kind,1990,29,210
lazy,1990,73,-230
leisurely,1990,59,-90
logical,1990,79,-290
loud,1990,76,-260
loyal,1990,42,80
mannerly,1990,48,20
masculine,1990,96,-460
mature,1990,56,-60
meek,1990,25,250
methodical,1990,60,-100
mild,1990,22,280
mischievous,1990,63,-130
moderate,1990,48,20
modest,1990,32,180
moody,1990,39,110
nagging,1990,30,200
natural,1990,53,-30
nervous,1990,28,220
noisy,1990,65,-150
obliging,1990,40,100
obnoxious,1990,72,-220
opinionated,1990,67,-170
opportunistic,1990,72,-220
optimistic,1990,58,-80
organized,1990,55,-50
original,1990,60,-100
outgoing,1990,64,-140
outspoken,1990,66,-160
painstaking,1990,44,60
patient,1990,32,180
peaceable,1990,35,150
peculiar,1990,50,0
persevering,1990,60,-100
persistent,1990,63,-130
pessimistic,1990,50,0
planful,1990,63,-130
pleasant,1990,26,240
pleasure-seeking,1990,68,-180
poised,1990,44,60
polished,1990,45,50
practical,1990,63,-130
praising,1990,44,60
precise,1990,67,-170
prejudiced,1990,48,20
preoccupied,1990,57,-70
progressive,1990,78,-280
prudish,1990,24,260
quarrelsome,1990,43,70
queer,1990,63,-130
quick,1990,72,-220
quiet,1990,37,130
quitting,1990,43,70
rational,1990,75,-250
rattlebrained,1990,34,160
realistic,1990,75,-250
reasonable,1990,63,-130
rebellious,1990,61,-110
reckless,1990,74,-240
reflective,1990,53,-30
relaxed,1990,59,-90
reliable,1990,61,-110
resentful,1990,40,100
reserved,1990,41,90
resourceful,1990,70,-200
responsible,1990,65,-150
restless,1990,68,-180
retiring,1990,52,-20
rigid,1990,74,-240
robust,1990,85,-350
rude,1990,83,-330
sarcastic,1990,61,-110
self-centered,1990,61,-110
self-confident,1990,79,-290
self-controlled,1990,64,-140
self-denying,1990,36,140
self-pitying,1990,30,200
self-punishing,1990,47,30
self-seeking,1990,59,-90
selfish,1990,61,-110
sensitive,1990,14,360
sentimental,1990,11,390
serious,1990,74,-240
severe,1990,81,-310
sexy,1990,14,360
shallow,1990,36,140
sharp-witted,1990,68,-180
shiftless,1990,60,-100
show-off,1990,67,-170
shrewd,1990,60,-100
shy,1990,25,250
silent,1990,42,80
simple,1990,45,50
sincere,1990,44,60
slipshod,1990,63,-130
slow,1990,50,0
sly,1990,60,-100
smug,1990,64,-140
snobbish,1990,44,60
sociable,1990,43,70
soft-hearted,1990,19,310
sophisticated,1990,28,220
spendthrift,1990,46,40
spineless,1990,52,-20
spontaneous,1990,49,10
spunky,1990,63,-130
stable,1990,71,-210
steady,1990,70,-200
stern,1990,84,-340
stingy,1990,69,-190
stolid,1990,76,-260
strong,1990,92,-420
stubborn,1990,63,-130
submissive,1990,16,340
suggestible,1990,26,240
sulky,1990,45,50
superstitious,1990,13,370
suspicious,1990,35,150
sympathetic,1990,27,230
tactful,1990,47,30
tactless,1990,62,-120
talkative,1990,22,280
temperamental,1990,34,160
tense,1990,53,-30
thankless,1990,66,-160
thorough,1990,59,-90
thoughtful,1990,47,30
thrifty,1990,46,40
timid,1990,25,250
tolerant,1990,45,50
touchy,1990,27,230
tough,1990,91,-410
trusting,1990,42,80
unaffected,1990,72,-220
unambitious,1990,30,200
unassuming,1990,44,60
unconventional,1990,59,-90
undependable,1990,53,-30
understanding,1990,33,170
unemotional,1990,82,-320
unexcitable,1990,70,-200
unfriendly,1990,67,-170
uninhibited,1990,66,-160
unintelligent,1990,32,180
unkind,1990,74,-240
unrealistic,1990,35,150
unscrupulous,1990,72,-220
unselfish,1990,45,50
unstable,1990,32,180
vindictive,1990,49,10
versatile,1990,61,-110
warm,1990,27,230
wary,1990,47,30
weak,1990,17,330
whiny,1990,23,270
wholesome,1990,57,-70
wise,1990,77,-270
withdrawn,1990,40,100
witty,1990,67,-170
worrying,1990,27,230
zany,1990,67,-170
